original_path,proposed_path,content_hash,duplicate_group,relationship,references_found,status,rollback_path,extension,media_type,file_size,dimensions,duration,frame_count,vcs_status,confidence
assets/CI-to-GI.png,assets/customer-to-global-insights-model.png,3769246fa01c17bb706ce335ea0e71ead46f2178d125c1b9b8101ca9d13e3000,none,related-distinct,none,renamed,assets/CI-to-GI.png,.png,image,238813,4400x2475,,1,?? Cisco/Redesigning-Cisco-Ready/assets/CI-to-GI.png,0.93
assets/Card-Sorting.png,assets/asset-library-card-sorting.png,f39bda72c42cfcc201956e96a7a87b8ef88b45d437831b19c8eefe1b5e97d7fb,asset-library-card-sorting,editorial-variant,none,renamed,assets/Card-Sorting.png,.png,image,583765,4746x2670,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Card-Sorting.png,0.88
assets/Card-Sorting.webm,assets/asset-library-card-sorting-recording.webm,d8f399bc9499c71c44d2b3e562b617b377eb6010497ca64114dfaa3bdc6d0c03,asset-library-card-sorting,editorial-variant,none,renamed,assets/Card-Sorting.webm,.webm,video,930406,1790x1214,12.917,,?? Cisco/Redesigning-Cisco-Ready/assets/Card-Sorting.webm,0.89
assets/Cisco-Ready-Cover.png,assets/cisco-ready-design-system-cover.png,082f12767baeb40a482819ef1f0b311cbe3da0b6f212926cabab8941f215514f,cisco-ready-cover-variants,editorial-variant,none,renamed,assets/Cisco-Ready-Cover.png,.png,image,1225907,10630x5979,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Cisco-Ready-Cover.png,0.92
assets/Cisco-Ready-Redesign.png,assets/cisco-ready-redesign-overview.png,baba5e8374b4e509b159189b42af9de9d121dc8e7b39fcff27f3d08faf851185,none,related-distinct,none,renamed,assets/Cisco-Ready-Redesign.png,.png,image,3252827,4961x1240,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Cisco-Ready-Redesign.png,0.89
assets/Colors.png,assets/design-system-color-usage.png,bb1c27d2b1bf68c1ca2d697ac010bc0c8bda15f17444e377701dc63e5140165d,none,related-distinct,none,renamed,assets/Colors.png,.png,image,346521,5133x2748,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Colors.png,0.93
assets/Cover-e.png,assets/cisco-ready-interface-cover-crop.png,af540c5d3acdc71776f94aecd6775cd33f1d212f5ed881edb2e5e196ee0c32b4,cisco-ready-cover-variants,editorial-variant,none,renamed,assets/Cover-e.png,.png,image,1827169,1920x1080,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Cover-e.png,0.86
assets/Cover.png,assets/cisco-ready-interface-cover.png,c1462f0b83e6ce247d0e77fcfc10a058c61287e36359a712819a648beb9176e9,cisco-ready-cover-variants,editorial-variant,none,renamed,assets/Cover.png,.png,image,2055884,2627x1477,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Cover.png,0.88
assets/Empty-State-Rendered.png,assets/customer-selection-empty-state.png,71eaf49122925db88cb9739f152d4b2bf380196b70fd07a104c612489ddf2d96,empty-state-variants,editorial-variant,none,renamed,assets/Empty-State-Rendered.png,.png,image,362091,5133x2748,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Empty-State-Rendered.png,0.93
assets/Empty-States-Collection.png,assets/customer-selection-empty-state-collection.png,77f3da5e828086e86f866b97856ee1f2cecb44ea47353a7029c7ae89ce168b97,empty-state-variants,editorial-variant,none,renamed,assets/Empty-States-Collection.png,.png,image,195840,5133x2308,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Empty-States-Collection.png,0.94
assets/Empty-States.png,assets/user-action-empty-state-flow.png,468df7ab71a5bb20cce97118ce2dc63147df4c8a0bfcd401fe8eaf6906e47986,empty-state-variants,editorial-variant,none,renamed,assets/Empty-States.png,.png,image,179694,5133x2888,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Empty-States.png,0.94
assets/Frame-13611.png,assets/filter-application-guidance.png,f801ea4578d15dec8ebd722ced4cbab5eae8344e636f8f5877d680474f949cdc,none,related-distinct,none,renamed,assets/Frame-13611.png,.png,image,1011411,5133x4166,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Frame-13611.png,0.91
assets/Icons-Library-1536x384.png,assets/asset-library-icon-set.png,6dc1697c817d675032d680ad759f54ba17bf0d5715b0ebd3adeb9bdf19a31526,asset-library-icon-set,editorial-variant,none,renamed,assets/Icons-Library-1536x384.png,.png,image,30359,1536x384,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Icons-Library-1536x384.png,0.95
assets/Landing-Page-New-1.png,assets/asset-library-landing-page-redesigned.png,cbc4f185932894dc92cf23ad923007f0610c483555eae6919c160a130a9a95e3,asset-library-landing-page,editorial-variant,none,renamed,assets/Landing-Page-New-1.png,.png,image,458461,5126x2744,,1,?? Cisco/Redesigning-Cisco-Ready/assets/Landing-Page-New-1.png,0.95
